Geneid	GeneSymbol	Class
1	gene1.1	XWRnD	pseudo gene
2	gene2.1	5hRk2	pseudo gene
3	gene3.1	qf1tN	pseudo gene
4	gene4.1	USX3G	pseudo gene
5	gene5.1	AHKmH	pseudo gene
6	gene6.1	SxqZw	pseudo gene
7	gene7.1	pznEk	pseudo gene
8	gene8.1	foBWK	pseudo gene
9	gene9.1	UWzUi	pseudo gene
10	gene10.1	gjRdd	pseudo gene
11	gene11.1	AScPZ	pseudo gene
12	gene12.1	eA3Ee	pseudo gene
13	gene13.1	fo8Rb	pseudo gene
14	gene14.1	vWdDp	pseudo gene
15	gene15.1	ET7Jo	pseudo gene
16	gene16.1	iOymI	pseudo gene
17	gene17.1	a6RBE	pseudo gene
18	gene18.1	CwDWO	pseudo gene
19	gene19.1	mhIWo	pseudo gene
20	gene20.1	VIyzM	pseudo gene
21	gene21.1	mR8j1	pseudo gene
22	gene22.1	CcdJ0	pseudo gene
23	gene23.1	KN7XQ	pseudo gene
24	gene24.1	ZbKeX	pseudo gene
25	gene25.1	CPypJ	pseudo gene
26	gene26.1	jo7QF	pseudo gene
27	gene27.1	vflxS	pseudo gene
28	gene28.1	ASgmr	pseudo gene
29	gene29.1	GxXTi	pseudo gene
30	gene30.1	gjR3q	pseudo gene
31	gene31.1	3Yghv	pseudo gene
32	gene32.1	ueolc	pseudo gene
33	gene33.1	BMrNV	pseudo gene
34	gene34.1	YYQtt	pseudo gene
35	gene35.1	BXTYc	pseudo gene
36	gene36.1	f5QnV	pseudo gene
37	gene37.1	zBIPL	pseudo gene
38	gene38.1	cnAII	pseudo gene
39	gene39.1	dztTZ	pseudo gene
40	gene40.1	Y2fEr	pseudo gene
41	gene41.1	aHVgr	pseudo gene
42	gene42.1	GzJav	pseudo gene
43	gene43.1	WjorU	pseudo gene
44	gene44.1	Z1ulM	pseudo gene
45	gene45.1	71A6M	pseudo gene
46	gene46.1	MOi2s	pseudo gene
47	gene47.1	bD4Oj	pseudo gene
48	gene48.1	uJLqo	pseudo gene
49	gene49.1	rUy5n	pseudo gene
50	gene50.1	Eg3rc	pseudo gene
51	gene51.1	AXrx1	pseudo gene
52	gene52.1	OJsjd	pseudo gene
53	gene53.1	bpYez	pseudo gene
54	gene54.1	0JRer	pseudo gene
55	gene55.1	aMMBd	pseudo gene
56	gene56.1	0WFOB	pseudo gene
57	gene57.1	LeCo8	pseudo gene
58	gene58.1	l3TDn	pseudo gene
59	gene59.1	MW2g1	pseudo gene
60	gene60.1	hevuv	pseudo gene
61	gene61.1	PKFaG	pseudo gene
62	gene62.1	IGOEq	pseudo gene
63	gene63.1	kH9v3	pseudo gene
64	gene64.1	NY555	pseudo gene
65	gene65.1	Uzq0c	pseudo gene
66	gene66.1	GngGd	pseudo gene
67	gene67.1	JdSyN	pseudo gene
68	gene68.1	erdNh	pseudo gene
69	gene69.1	eiIIv	pseudo gene
70	gene70.1	oO3GA	pseudo gene
71	gene71.1	LQgNu	pseudo gene
72	gene72.1	T7Dd0	pseudo gene
73	gene73.1	w1jQJ	pseudo gene
74	gene74.1	XndyX	pseudo gene
75	gene75.1	wtCtg	pseudo gene
76	gene76.1	eJ4zC	pseudo gene
77	gene77.1	scVvJ	pseudo gene
78	gene78.1	pPmxJ	pseudo gene
79	gene79.1	Ju3jz	pseudo gene
80	gene80.1	V0KlU	pseudo gene
81	gene81.1	iITwA	pseudo gene
82	gene82.1	sPq9b	pseudo gene
83	gene83.1	xvwmQ	pseudo gene
84	gene84.1	76yBl	pseudo gene
85	gene85.1	5GvtM	pseudo gene
86	gene86.1	XyC6S	pseudo gene
87	gene87.1	0sKFq	pseudo gene
88	gene88.1	evgAy	pseudo gene
89	gene89.1	iPlnO	pseudo gene
90	gene90.1	CZfA4	pseudo gene
91	gene91.1	zWBuG	pseudo gene
92	gene92.1	pDoEV	pseudo gene
93	gene93.1	SQ2yb	pseudo gene
94	gene94.1	Uz55Z	pseudo gene
95	gene95.1	tmlF1	pseudo gene
96	gene96.1	qf3Fu	pseudo gene
97	gene97.1	ueHth	pseudo gene
98	gene98.1	eP888	pseudo gene
99	gene99.1	cu5EM	pseudo gene
100	gene100.1	YVBVv	pseudo gene
101	gene101.1	bx0yS	pseudo gene
102	gene102.1	xK05P	pseudo gene
103	gene103.1	lmxd7	pseudo gene
104	gene104.1	i4FjN	pseudo gene
105	gene105.1	CRzaD	pseudo gene
106	gene106.1	JlOFW	pseudo gene
107	gene107.1	2kTll	pseudo gene
108	gene108.1	lKMwl	pseudo gene
109	gene109.1	igO1v	pseudo gene
110	gene110.1	Ds5xT	pseudo gene
111	gene111.1	rXV9n	pseudo gene
112	gene112.1	W3MKx	pseudo gene
113	gene113.1	Y8V6G	pseudo gene
114	gene114.1	t47j6	pseudo gene
115	gene115.1	dNPha	pseudo gene
116	gene116.1	ImrmA	pseudo gene
117	gene117.1	hEIoC	pseudo gene
118	gene118.1	XXcAP	pseudo gene
119	gene119.1	oJ9eG	pseudo gene
120	gene120.1	aicdS	pseudo gene
121	gene121.1	ncof0	pseudo gene
122	gene122.1	QD5oQ	pseudo gene
123	gene123.1	TA6Bc	pseudo gene
124	gene124.1	qWfL8	pseudo gene
125	gene125.1	nKu8Q	pseudo gene
126	gene126.1	kQEMZ	pseudo gene
127	gene127.1	RH5RM	pseudo gene
128	gene128.1	C0uTc	pseudo gene
129	gene129.1	0yh4C	pseudo gene
130	gene130.1	1fMRT	pseudo gene
